timestamp,hour,day_of_week,month,is_weekend,is_rush_hour,temperature,humidity,wind_speed,precipitation,atmospheric_pressure,traffic_volume,congestion_index,industrial_activity,green_space_percentage,pollution_level
2023-01-01 00:00:00,0,6,1,1,0,18.349296532508152,58.523415207665515,6.2393164214152455,9.859607853347406,1006.2080052156763,874,20.725466921937503,17.840621820240983,14.733978247669722,25.029311092358167
2023-01-01 01:00:00,1,6,1,1,0,21.546299217351223,53.49050786890784,2.49538567169928,0.02729290084990225,1003.6199257596825,382,12.242547875328395,27.541808732889425,21.508819445069662,14.978270942767846
2023-01-01 02:00:00,2,6,1,1,0,21.421582501234468,62.074480346787155,1.4968232264494008,0.17904079668533324,1007.7809862531283,100,9.811325553275346,23.161397966535635,25.400657716132834,6.2334063548040435
2023-01-01 03:00:00,3,6,1,1,0,24.105350369797264,54.90128241346174,2.132362385922835,12.141965858787668,1017.390582913203,987,34.4662314496755,11.744878910152902,19.941104338200446,26.84127946691143
2023-01-01 04:00:00,4,6,1,1,0,17.249519468544886,95.0,7.903823368153877,7.465656049794288,1011.8363903123742,671,14.672571018777987,40.57043419165366,17.915850457831382,19.72603991886323
2023-01-01 05:00:00,5,6,1,1,0,19.627558459181696,45.11462570264229,4.90702876286419,2.995607838660204,1007.9958848979048,100,0.0,23.041700536077247,25.082892649452617,2.2825691878482486
2023-01-01 06:00:00,6,6,1,1,0,13.967111330766116,75.03127824885614,13.874138531106029,7.004200830897263,1000.0298950323354,908,20.424371633974456,41.95941907435307,33.24018580688455,15.351165453460709
2023-01-01 07:00:00,7,6,1,1,1,18.521589725109717,67.7579525180852,5.6925607077214835,15.577024911477242,990.9111115719957,2063,39.928935247967544,38.81746400760012,22.104108472473918,56.93730169384717
2023-01-01 08:00:00,8,6,1,1,1,21.177739251207377,63.448083121859064,4.221962794799092,7.3940118786823525,1002.9528244479857,3680,78.22983064926115,35.56717976633419,16.387578764287568,106.018208333882
2023-01-01 09:00:00,9,6,1,1,1,17.212445999208324,82.1982914987076,4.710556266704307,9.237566130414908,1025.6441586185188,2332,40.15417851817139,36.12884071763184,18.67173909918222,65.88228945015003
2023-01-01 10:00:00,10,6,1,1,0,20.239495436647115,64.47566178901769,14.26868495803674,7.148234887113555,1017.359927730642,208,16.001672712002186,23.846861179262923,37.63795351951762,0.0
2023-01-01 11:00:00,11,6,1,1,0,19.521450495028777,50.47639620386377,7.76058618064987,0.9208829360986772,1011.0846467726246,891,22.100240473877562,48.57850151290665,20.944349814366895,28.894554489657633
2023-01-01 12:00:00,12,6,1,1,0,20.066665479835947,64.37595565880112,0.1216747243084943,8.966025858133852,1020.2978679655739,398,0.0,30.43125430953049,15.83910410995419,19.244136792648618
2023-01-01 13:00:00,13,6,1,1,0,18.716621259189964,57.25232596642157,3.8193473345693136,1.0852409542776622,1000.1211684489858,100,0.0,33.01931685118704,11.984524584622221,11.445669859573941
2023-01-01 14:00:00,14,6,1,1,0,18.404547769345317,67.54927003224974,5.829186661132988,11.156502888708339,1013.5675005155563,900,22.080405220569695,23.50923666433361,7.21869234121176,31.62879167102195
